,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-01-01,240.13399,236.86401,-0.023392268,10.429878,0.7556236,0.0,163.18228,0.0,0.6028236,,0.0
1980-01-02,235.96576,231.45251,-0.02692851,16.490194,0.8717375,0.0,137.07729,0.0,0.23544934,,0.0
1980-01-03,241.73824,238.44122,-0.090301886,36.00397,2.9287894,0.0,159.4751,0.0,0.7600013,,0.0
1980-01-04,238.4305,235.64842,-0.03997568,20.906418,1.2943115,0.0,145.258,0.0,0.40484408,,0.0
1980-01-05,240.62506,237.51521,-0.09300836,33.444035,3.015333,0.0,158.20914,0.0,0.72335726,,0.0
1980-01-06,248.1399,245.8678,-0.107524015,27.680313,3.4871843,0.0,192.16316,0.0,2.8016963,,0.0
1980-01-07,247.11072,245.11443,-0.103584066,30.15152,3.3601325,0.0,170.37308,0.0,0.37749285,,0.0
1980-01-08,249.21973,247.85303,-0.06734176,22.748121,2.1873415,0.0,205.70418,0.0,4.6679573,,0.0
1980-01-09,248.34904,246.59729,-0.1107322,34.170643,3.5914524,0.0,171.81102,0.0,0.8635173,,0.0
1980-01-10,236.85728,232.57436,-0.025260545,14.479859,0.8188476,0.0,129.70729,0.0,0.25247738,,0.0
1980-01-11,235.56781,231.87206,-0.019011876,12.094598,0.6152827,0.0,140.89366,0.0,0.4420837,,0.0
1980-01-12,228.70503,225.02147,-0.013531928,20.295263,0.43752065,0.0,107.111145,0.0,0.2712406,,0.0
1980-01-13,228.88885,221.7162,-0.025113372,31.63909,0.8165881,0.0,103.21036,0.0,0.11683137,,0.0
1980-01-14,247.57483,244.3632,-0.17033823,42.484135,5.52404,0.0,182.58002,0.0,1.0341154,,0.0
1980-01-15,240.85223,238.62732,-0.033676278,14.59254,1.0921288,0.0,150.2739,0.0,0.6232418,,0.0
1980-01-16,228.16432,221.53358,-0.013985641,19.717855,0.45462528,0.0,94.49112,0.0,0.04261275,,0.0
1980-01-17,232.38927,228.71515,-0.029379979,27.858282,0.9513698,0.0,128.28835,0.0,0.22521347,,0.0
1980-01-18,224.65453,218.02156,-0.007709858,17.537516,0.2494421,0.0,85.36801,0.0,0.047538627,,0.0
1980-01-19,223.82869,216.42188,-0.012077088,27.499819,0.391469,0.0,81.45605,0.0,0.03952154,,0.0
1980-01-20,229.92757,219.36841,-0.018170482,22.705679,0.58936614,0.0,112.296745,0.0,0.30107147,,0.0
1980-01-21,234.67632,230.62129,-0.04094962,30.23453,1.3242251,0.0,140.2301,0.0,0.41761702,,0.0
1980-01-22,243.42155,239.2469,-0.05451823,40.798744,1.7657131,0.0,165.31664,0.0,0.38151506,,0.0
1980-01-23,244.46748,239.1087,-0.009551974,37.961548,0.3109533,0.0,143.94904,0.0,0.0014013547,,0.0
1980-01-24,242.4528,233.585,-0.012349651,39.62254,0.39942232,0.0,125.800514,0.0,2.6181422e-07,,0.0
1980-01-25,242.3698,235.12604,-0.039921388,43.371826,1.2928252,0.0,129.18495,0.0,0.009112537,,0.0
1980-01-26,241.50362,236.6377,-0.051144864,38.135075,1.6594123,0.0,154.7035,0.0,0.7528009,,0.0
1980-01-27,248.19966,245.33183,-0.09863319,22.764643,3.1952012,0.0,185.83055,0.0,0.6264927,,0.0
1980-01-28,246.70929,237.76898,-0.0387414,11.927873,1.25539,0.0,158.25179,0.0,0.0235362,,0.0
1980-01-29,243.66945,231.2995,-0.037708573,23.17376,1.2221223,0.0,135.74327,0.0,0.015662428,,0.0
1980-01-30,246.42383,241.70671,-0.07924979,19.918509,2.568902,0.0,186.58476,0.0,0.38270697,,0.0
1980-01-31,245.32733,239.66624,-0.041659206,11.260761,1.3513836,0.004345208,168.54616,0.0,0.15046623,0.7672407,0.0
1980-02-01,243.02882,230.82176,-0.033763018,15.43084,1.0945222,0.05672137,135.46306,0.0,0.09409272,0.7455116,0.0
1980-02-02,243.49902,229.46637,-0.015265868,10.633358,0.49543023,0.12970479,139.6625,0.0,0.023967981,0.74657077,0.0
1980-02-03,240.29797,236.68132,-0.022074709,11.037353,0.71611863,0.19801618,171.28099,0.0,0.48262727,0.7607924,0.0
1980-02-04,234.18561,230.48767,-0.01715626,13.527249,0.5554545,0.35067287,135.09906,0.0,0.4532997,0.762904,0.0
1980-02-05,227.41939,223.06213,-0.01134987,18.101435,0.36810622,0.8323908,99.9195,0.0,0.22285227,0.7463274,0.0
