DATA_NEEM08_EU_CCL4.txt     Data from UEA, uncertainties by Christo
Depth	CCl4	grav corr	u(CCl4)
0.00	93.25	93.25	5.58
2.50	93.90	93.85	5.58
4.90	92.83	92.67	5.59
7.55	93.54	93.24	5.59
10.10	92.57	92.15	5.59
14.80	94.69	94.00	5.61
19.75	93.64	92.72	5.63
27.54	98.96	97.55	5.67
34.72	90.77	89.07	5.73
42.42	103.15	100.77	5.81
50.00	99.25	96.51	5.92
54.90	97.50	94.54	6.01
57.40	102.99	99.73	7.50
59.90	105.86	102.37	6.21
61.95	103.68	100.15	6.53
63.85	106.10	102.45	7.47
65.75	97.18	93.84	9.93
68.05	77.97	75.29	14.68
70.05	59.19	57.15	19.03
72.00	45.16	43.61	16.04
74.08	33.15	32.01	12.21
75.90	25.68	24.80	9.10
77.75	16.54	15.97	6.65
