DATA_NEEM08_EU_CFC11_v2.txt Data by UEA, uncertainties by Christo
Depth	CFC-11	grav	u(CFC-11)
0.00	249.38	249.38	4.09
2.50	262.87	262.74	4.83
4.90	252.24	251.86	4.11
7.55	255.63	254.94	4.13
10.10	250.45	249.48	4.15
14.80	252.09	250.51	4.43
19.75	252.56	250.39	4.26
27.54	255.20	252.03	4.37
34.72	256.70	252.54	4.51
42.42	257.79	252.60	4.69
50.00	261.58	255.30	4.94
54.90	258.92	252.09	5.04
57.40	260.20	253.01	5.17
59.90	258.23	250.80	5.35
61.95	255.20	247.62	5.81
63.85	234.72	227.68	6.63
65.75	199.91	193.91	8.44
68.05	106.93	103.72	9.90
70.05	50.38	48.87	10.39
72.00	17.48	16.96	6.06
74.08	4.25	4.12	4.66
75.90	2.73	2.65	5.09
77.75	3.74	3.63	5.65
