DATA_NEEM08_EU_CFC12_v3.txt data by UEA, uncertainties by christo
Depth	CFC-12	grav	u(CFC-12)
0.00	538.22	538.22	4.84
2.50	542.49	542.27	5.76
4.90	541.65	540.96	4.86
7.55	540.71	539.47	6.55
10.10	542.43	540.64	4.88
14.80	544.46	541.57	4.92
19.75	541.22	537.27	4.97
27.54	544.86	539.11	5.09
34.72	543.12	535.63	5.23
42.42	543.59	534.27	5.44
50.00	541.75	530.66	7.48
54.90	536.39	524.33	5.90
57.40	533.25	520.70	6.08
59.90	527.62	514.69	6.36
61.95	520.55	507.39	7.41
63.85	466.94	455.01	8.20
65.75	393.58	383.52	10.83
68.05	219.46	213.86	12.29
70.05	111.88	109.02	11.92
72.00	47.56	46.35	7.98
74.08	15.90	15.49	8.04
75.90	9.17	8.93	9.24
77.75	9.02	8.78	10.66

