DATA_NEEM08_US_CH4.txt  Data by NOAA, IUP, uncertainties by Christo
Depth	CH4	grav	u(CH4)
0.00	1838.30	1838.30	5.98
2.85	1837.52	1837.63	6.11
5.23	1853.53	1853.89	6.32
9.83	1852.70	1853.53	6.87
19.30	1857.20	1859.06	8.40
34.70	1850.25	1853.87	8.98
49.70	1841.30	1846.67	10.39
57.47	1833.88	1840.08	7.64
59.90	1834.10	1840.56	7.64
62.00	1838.13	1844.82	7.90
64.03	1820.60	1827.30	8.90
65.50	1795.60	1802.21	10.34
66.90	1727.75	1734.11	13.58
68.30	1612.10	1618.03	19.29
69.80	1480.90	1486.35	26.80
71.40	1408.25	1413.43	27.30
72.85	1330.65	1335.54	25.96
73.80	1305.85	1310.65	25.40
75.60	1235.95	1240.50	24.38
