CFC-113 history for the northern hemisphere by Christo Buizert, CIC copenhagen
Yr	NEEM monthly
1800.00 0.00
1959.50	0.00
1960.50	0.00
1961.50	0.10
1962.50	0.30
1963.50	0.50
1964.50	0.80
1965.50	1.10
1966.50	1.50
1967.50	2.00
1968.50	2.60
1969.50	3.30
1970.50	4.20
1971.50	5.10
1972.50	6.20
1973.50	7.50
1974.50	8.90
1975.50	10.60
1976.50	12.40
1977.50	14.50
1978.50	16.90
1979.50	19.60
1980.50	22.60
1981.50	25.80
1982.50	29.10
1983.50	32.90
1984.50	37.80
1985.50	43.90
1986.50	48.00
1987.50	55.80
1988.50	63.50
1989.50	69.50
1990.50	75.20
1991.50	80.50
1992.50	83.50
1993.50	84.20
1994.50	84.10
1995.50	84.20
1995.63	85.27
1995.66	84.53
1995.67	84.70
1995.86	84.43
1995.88	84.55
1995.90	84.66
1995.92	84.08
1995.94	85.23
1996.03	84.47
1996.07	85.17
1996.13	84.51
1996.17	84.73
1996.19	85.00
1996.26	85.16
1996.32	84.77
1996.36	85.12
1996.40	84.73
1996.44	85.47
1996.47	84.33
1996.51	84.49
1996.53	84.25
1996.65	84.50
1996.67	84.27
1996.74	84.46
1996.78	84.88
1996.86	84.75
1996.87	84.53
1996.95	84.03
1997.05	83.75
1997.10	84.64
1997.16	83.74
1997.19	84.54
1997.20	83.62
1997.41	84.81
1997.43	84.48
1997.47	84.00
1997.51	83.79
1997.76	83.76
1997.77	84.26
1997.79	84.12
1997.81	84.10
1997.99	84.11
1998.04	84.23
1998.08	83.58
1998.24	83.09
1998.27	83.57
1998.33	83.25
1998.39	83.17
1998.41	82.87
1998.43	82.76
1998.45	83.37
1998.54	83.45
1998.58	83.03
1998.60	83.53
1998.62	83.22
1998.66	82.49
1998.69	82.17
1998.71	82.54
1998.73	82.64
1998.75	82.88
1998.79	83.34
1998.81	82.89
1998.85	81.89
1998.87	82.74
1998.91	82.49
1998.92	83.29
1998.95	83.12
1999.00	82.80
1999.02	82.96
1999.06	83.20
1999.12	82.44
1999.13	82.33
1999.18	83.70
1999.20	83.37
1999.22	82.63
1999.33	82.91
1999.37	81.75
1999.39	83.01
1999.41	82.69
1999.47	82.29
1999.48	81.98
1999.50	82.12
1999.52	81.65
1999.56	81.93
1999.60	82.73
1999.62	82.16
1999.65	82.44
1999.73	81.99
