Data by NOAA HATS (Steve Montzka), uncertainties by Christo
Depth	CFC-11	grav	u(CFC-11)
0.00	248.263	248.263	4.0
10.32	248.698	248.698	4.0
14.99	247.725	247.725	4.0
20.53	250.054	250.054	4.0
34.75	250.197	250.197	4.0
40.04	244.594	244.594	4.0
44.84	243.335	243.335	4.0
49.78	239.122	239.122	4.0
54.67	232.106	232.106	4.0
55.57	232.612	232.612	4.0
61.53	224.564	224.564	4.0
64.84	183.336	183.336	7.0
66.21	179.843	179.843	7.0
68.26	144.443	144.443	10.0
70.01	95.515	95.515	10.0
70.27	84.849	84.849	10.0
71.71	56.754	56.754	10.0
73.00	19.229	19.229	7.0
74.04	17.407	17.407	7.0
74.93	8.826	8.826	7.0
76.54	5.190	5.190	7.0
