GISP2 Layer Counted Timescale

REFERENCES: 

Meese, D.A., A.J. Gow, R.B. Alley, G.A. Zielinski, P.M. Grootes, M. Ram,
K.C. Taylor, P.A. Mayewski, and J.F. Bolzan. 1997. The Greenland Ice Sheet
Project 2 depth-age scale: Methods and results. Journal of Geophysical
Research 102:26411-26423.

Meese, D.A., A.J. Gow, P.M. Grootes, P.A. Mayewski, M. Ram, M. Stuiver,
K.C. Taylor, E.D. Waddington, and G.A. Zielinski. 1994. The accumulation
record from the GISP2 core as an indicator of climate change throughout the
Holocene. Science 266:1680-1682.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Alley, R.B., D.A. Meese, C.A. Shuman, A.J. Gow, K.C. Taylor, P.M. Grootes,
J.W.C. White, M. Ram, E.D. Waddington, P.A. Mayewski, and G.A. Zielinski.
1993. Abrupt increase in Greenland snow accumulation at the end of the
Younger Dryas event. Nature 362:527-529.

DATA DESCRIPTION: 

This is the depth-age scale for the GISP2 D core based on annual layer
counting.  This time-scale provides more annual detail than the official
GISP2 timescale (the Meese/Sowers timescale, file gisp2age.dat).  It is
important to note that the core is deformed below 2800 m.  Annual layers
from visual stratigraphy and an annual signal from laser light scattering
from dust were evident below this depth and were counted.  However, it is
clear the record is disturbed, is probably discontinuous, and that
sections of core may be duplicated as a result of folding, so any ages
beyond 2800 m must be used with extreme caution.

As for ALL timescales on this CDROM, all ages are in years before 1950
A.D., where 0 represents summer, 1950.

DATA:	

Depth (m)	Age (yrs BP 1950)

1.510	-39
2.040	-38
2.820	-37
3.320	-36
3.990	-35
4.710	-34
5.180	-33
5.520	-32
6.040	-31
6.630	-30
7.010	-29
7.620	-28
8.220	-27
8.750	-26
9.230	-25
9.500	-24
9.910	-23
10.430	-22
10.830	-21
11.280	-20
11.720	-19
12.140	-18
12.570	-17
12.860	-16
13.290	-15
13.740	-14
14.180	-13
14.620	-12
14.930	-11
15.420	-10
15.840	-9
16.260	-8
16.690	-7
17.050	-6
17.550	-5
18.030	-4
18.470	-3
18.910	-2
19.190	-1
19.510	0
19.860	1
20.420	2
20.790	3
21.100	4
21.590	5
21.980	6
22.420	7
22.940	8
23.290	9
23.660	10
24.090	11
24.420	12
24.680	13
25.040	14
25.460	15
25.920	16
26.250	17
26.520	18
27.030	19
27.420	20
27.800	21
28.170	22
28.420	23
28.830	24
29.050	25
29.410	26
29.660	27
30.010	28
30.450	29
30.660	30
30.900	31
31.290	32
31.710	33
32.040	34
32.520	35
32.820	36
33.210	37
33.540	38
33.900	39
34.270	40
34.640	41
34.920	42
35.350	43
35.510	44
35.740	45
36.120	46
36.350	47
36.530	48
36.850	49
37.300	50
37.580	51
37.880	52
38.150	53
38.620	54
38.830	55
39.150	56
39.540	57
39.900	58
40.220	59
40.530	60
40.960	61
41.320	62
41.670	63
41.960	64
42.380	65
42.690	66
42.950	67
43.190	68
43.490	69
43.870	70
44.280	71
44.690	72
44.920	73
45.200	74
45.530	75
45.880	76
46.260	77
46.560	78
46.870	79
47.210	80
47.430	81
47.720	82
47.970	83
48.260	84
48.540	85
48.880	86
49.190	87
49.420	88
49.770	89
50.130	90
50.460	91
50.720	92
50.930	93
51.370	94
51.700	95
52.060	96
52.310	97
52.650	98
52.950	99
53.250	100
53.530	101
53.890	102
54.160	103
54.420	104
54.600	105
54.910	106
55.200	107
55.450	108
55.640	109
56.030	110
56.240	111
56.630	112
56.940	113
57.160	114
57.420	115
57.700	116
58.060	117
58.400	118
58.780	119
59.230	120
59.580	121
59.940	122
60.160	123
60.510	124
60.780	125
61.010	126
61.310	127
61.560	128
61.850	129
62.180	130
