,Tseas0noise,Tseas0.1noise,Tseas1noise,Tseas2noise,Tseas4noise,Tseas10noise,EVAP,SMELT,PRECTOT,PRECSNO
2000-01-02,243.34413060116344,243.3553767868765,243.42057668233687,244.48715820219917,244.74223011508872,243.42211870342197,0,0,19.23076923076923,19.23076923076923
2000-01-09,244.88947236438412,244.94981336145932,245.73927379453693,246.64206940753314,245.32227463687468,248.92798334435372,0,0,19.23076923076923,19.23076923076923
2000-01-16,247.26771843829547,247.3100724625451,248.0904855845645,248.91254914081287,247.6897406245233,257.1288413292515,0,0,19.23076923076923,19.23076923076923
2000-01-23,249.58407169047027,249.5964468044617,249.90911009904698,250.77019759986817,250.17769654777643,253.393158193424,0,0,19.23076923076923,19.23076923076923
2000-01-30,251.80493908027358,251.87750148360405,252.37716968034948,252.1218417153933,252.66916581076572,255.4636637669005,0,0,19.23076923076923,19.23076923076923
2000-02-06,253.89811235604944,253.89899085836814,254.6947590207636,255.6516203774222,255.59222443319285,255.1386273531419,0,0,19.23076923076923,19.23076923076923
2000-02-13,255.83323515706437,255.8868570933046,256.0300373121807,256.7204137347412,255.87832811488587,258.04335281483304,0,0,19.23076923076923,19.23076923076923
2000-02-20,257.5822432583014,257.676982416822,257.81163176496494,259.4216726177655,260.4296625439132,265.75340205776774,0,0,19.23076923076923,19.23076923076923
2000-02-27,259.119771573429,259.18166911881036,259.85444502006976,259.68602178450817,262.8329793404712,265.8443073152977,0,0,19.23076923076923,19.23076923076923
2000-03-05,260.423522013363,260.45710433731347,261.1884833828562,261.46239118804203,260.84862377720725,269.758949057189,0,0,19.23076923076923,19.23076923076923
2000-03-12,261.474586865532,261.5740480460662,262.3488200069848,262.5512266347019,265.13821090161423,262.86454018860934,0,0,19.23076923076923,19.23076923076923
2000-03-19,262.25772300401985,262.30515402192486,262.9540923678197,262.28811877111417,265.1851263297914,267.6398973704052,0,0,19.23076923076923,19.23076923076923
2000-03-26,262.76157295383945,262.80017343249983,262.9478073640153,263.5588457275459,264.69142571939443,272.69375059453984,0,0,19.23076923076923,19.23076923076923
2000-04-02,262.97882960333925,262.9801844427755,263.11317714584385,264.606442378827,263.1340629441233,270.777773071522,0,0,19.23076923076923,19.23076923076923
2000-04-09,262.9063421759924,263.0020573607753,263.0520496452598,263.36242258062316,265.5004202872023,266.2727706063732,0,0,19.23076923076923,19.23076923076923
2000-04-16,262.54516192470686,262.64428802594426,263.3909750288232,264.1170548476265,263.9392880218619,268.1326882207462,0,0,19.23076923076923,19.23076923076923
2000-04-23,261.9005268859725,261.92796700393836,262.3840975345732,262.4507758912594,263.92012007991246,268.13573456811764,0,0,19.23076923076923,19.23076923076923
2000-04-30,260.98178591494786,261.0116050819179,261.17026535258384,261.46120431474174,264.93433280994475,267.3674013218692,0,0,19.23076923076923,19.23076923076923
2000-05-07,259.8022631031736,259.8198730161447,260.64637147208487,261.5696850189439,263.07095668566336,267.7276375008697,0,0,19.23076923076923,19.23076923076923
2000-05-14,258.379064545201,258.4263851983676,258.9827976168735,260.3278517220728,261.7075832511298,263.51457118019107,0,0,19.23076923076923,19.23076923076923
2000-05-21,256.73283025651324,256.7336003575523,257.2570698071718,258.2019226954939,256.75096196991024,260.5738462887659,0,0,19.23076923076923,19.23076923076923
2000-05-28,254.887434840564,254.8950504540862,255.68317924079005,256.3615071823437,256.62652027423417,264.5146064230343,0,0,19.23076923076923,19.23076923076923
2000-06-04,252.8696412460259,252.87666489620523,253.85699695389806,254.21317226306405,256.3406969912331,255.6735133769229,0,0,19.23076923076923,19.23076923076923
2000-06-11,250.70871263565283,250.78395391014575,251.1568866217883,252.24191703052963,254.0710550601669,257.42950637405625,0,0,19.23076923076923,19.23076923076923
2000-06-18,248.4359879956505,248.4840010843091,248.94955160130274,250.4304792110079,252.01289536299947,250.41912464163656,0,0,19.23076923076923,19.23076923076923
2000-06-25,246.08442764030244,246.1815349457626,246.40951746049035,247.7202044320568,247.84851228491067,250.37320442565078,0,0,19.23076923076923,19.23076923076923
2000-07-02,243.68813520319665,243.7113135920767,244.2381806960829,245.5158834253537,243.82641112803447,250.9094217342502,0,0,19.23076923076923,19.23076923076923
2000-07-09,241.28186304740092,241.28969129449482,242.20870941418625,241.48005261753895,241.87685004650186,246.30280901679922,0,0,19.23076923076923,19.23076923076923
2000-07-16,238.900508267403,238.9437331982025,239.7217262650334,239.98076212229546,240.05551890194565,244.732583522271,0,0,19.23076923076923,19.23076923076923
2000-07-23,236.57860659207563,236.60737678544535,237.2348265007773,238.1395015638909,238.33035084322245,239.35667726691136,0,0,19.23076923076923,19.23076923076923
2000-07-30,234.34983152836608,234.40032726425306,235.25562649745547,235.92511915940545,236.45746052421177,235.10323351999483,0,0,19.23076923076923,19.23076923076923
2000-08-06,232.24650600940674,232.31731200219068,232.34055777321183,232.73186139705354,234.87155000961442,234.51691637587805,0,0,19.23076923076923,19.23076923076923
2000-08-13,230.29913362939703,230.37116846172276,230.31776718090404,230.4895773416663,233.55638351080006,240.01841710378255,0,0,19.23076923076923,19.23076923076923
