DATA_NEEM08_EU_CFC113_v2.txt Data by UEA, uncertainties by Christo
Depth	CFC-113	grav	u(CFC-113)
0.00	78.45	78.45	1.45
2.50	80.14	80.09	1.45
4.90	79.50	79.33	3.16
7.55	81.05	80.73	1.55
10.10	80.28	79.83	1.50
14.80	79.75	79.02	1.61
19.75	80.66	79.65	1.49
27.54	80.78	79.32	1.51
34.72	80.05	78.16	1.55
42.42	80.85	78.49	1.60
50.00	80.76	77.95	1.66
54.90	80.70	77.63	1.71
57.40	78.11	75.00	1.75
59.90	75.60	72.46	1.79
61.95	74.40	71.22	1.86
63.85	61.00	58.36	1.98
65.75	41.45	39.66	2.24
68.05	13.84	13.24	1.95
70.05	4.34	4.15	1.54
72.00	1.34	1.28	1.50
74.08	0.41	0.39	1.60
75.90	0.58	0.55	1.73
77.75	0.92	0.88	1.90
