DATA_NEEM08_EU_CH3CCL3_v3.txt Data by UEA, uncertainties by christo
Depth	CH3CCl3	grav	u(CH3CCl3)
0.00	11.39	11.39	0.70
2.50	12.06	12.05	0.71
4.90	12.08	12.06	0.73
7.55	13.17	13.14	0.77
10.10	13.50	13.45	0.81
14.80	15.92	15.82	0.93
19.75	19.66	19.49	1.13
27.54	28.07	27.73	1.50
34.72	37.00	36.43	2.02
42.42	47.01	46.10	2.54
50.00	60.00	58.61	3.19
54.90	67.37	65.65	3.69
57.40	77.47	75.40	4.09
59.90	83.47	81.15	4.47
61.95	91.98	89.35	4.95
63.85	106.46	103.39	5.69
65.75	106.54	103.46	6.50
68.05	57.01	55.36	4.25
70.05	24.25	23.55	1.82
72.00	6.44	6.26	0.79
74.08	0.93	0.90	0.68
75.90	0.29	0.29	0.69
77.75	0.16	0.16	0.70
