DATA_NEEM08_US_CO2_v2.txt. Data by NOAA, uncert by christo
Depth	CO2	grav corr	u(CO2)
0.00	381.555	381.555	2.798
2.85	386.820	386.791	2.650
5.23	387.670	387.582	2.426
9.83	388.428	388.222	1.902
19.30	386.030	385.576	0.659
34.70	382.245	381.369	0.544
49.70	378.980	377.690	0.524
57.47	376.750	375.264	0.525
59.90	375.300	373.758	0.527
62.00	374.490	372.901	0.537
64.03	367.663	366.086	0.591
65.50	360.488	358.942	0.613
66.90	349.750	348.250	0.699
68.30	338.713	337.260	0.885
69.80	329.610	328.197	1.421
71.40	326.023	324.625	2.160
72.85	321.543	320.164	2.995
73.80	320.560	319.185	3.586
75.60	318.800	317.433	4.932
