DATA_NEEM08_US_SF6.txt, Data by NOAA, IUP, uncertainties by Christo
Depth	SF6	grav corr	u(SF6)
0.00	6.6180	6.6180	0.111
2.85	6.6269	6.6230	0.122
5.23	6.4951	6.4837	0.187
9.83	6.3480	6.3221	0.233
19.30	6.0021	5.9477	0.231
34.70	5.4700	5.3742	0.232
49.70	4.9495	4.8219	0.156
57.47	4.5276	4.3928	0.124
59.90	4.2917	4.1587	0.128
62.00	4.1183	3.9866	0.131
64.03	3.2584	3.1531	0.138
65.50	2.3849	2.3078	0.144
66.90	1.2633	1.2225	0.130
68.30	0.5640	0.5457	0.126
69.80	0.2042	0.1976	0.127
71.40	0.1031	0.0997	0.122
72.85	0.0287	0.0278	0.122
73.80	0.0307	0.0297	0.126
