DATA_NEEM08_EU_CFC12 Data by UEA, uncertainties by Christo
Depth	CFC-12	grav corr	u(CFC-12)
0.00	529.25	529.25	7.16
2.50	533.45	533.23	7.84
4.90	532.63	531.94	7.19
7.55	531.70	530.47	8.42
10.10	533.39	531.62	7.21
14.80	535.39	532.54	7.24
19.75	532.20	528.31	7.25
27.54	535.78	530.12	7.34
34.72	534.07	526.70	7.41
42.42	534.53	525.36	7.55
50.00	532.72	521.82	9.11
54.90	527.45	515.59	7.82
57.40	524.37	512.02	7.94
59.90	518.83	506.11	8.12
61.95	511.88	498.93	8.92
63.85	459.16	447.42	9.33
65.75	387.02	377.13	11.46
68.05	215.81	210.29	12.46
70.05	110.02	107.20	11.96
72.00	46.77	45.57	7.98
74.08	15.64	15.24	8.00
75.90	9.02	8.78	9.16
77.75	8.87	8.64	10.55
