DATA_NEEM08_EU_CH3CCL3 Data by UEA, uncertainties by Christo
Depth	CH3CCl3	grav corr	u(CH3CCl3)
0.00	11.51	11.51	0.70
2.50	12.19	12.18	0.72
4.90	12.21	12.19	0.74
7.55	13.31	13.28	0.77
10.10	13.65	13.59	0.81
14.80	16.09	15.99	0.93
19.75	19.87	19.70	1.13
27.54	28.37	28.03	1.50
34.72	37.40	36.81	2.02
42.42	47.51	46.59	2.54
50.00	60.63	59.23	3.19
54.90	68.08	66.35	3.69
57.40	78.29	76.20	4.09
59.90	84.35	82.01	4.47
61.95	92.95	90.29	4.95
63.85	107.59	104.48	5.69
65.75	107.66	104.55	6.50
68.05	57.62	55.95	4.25
70.05	24.51	23.80	1.82
72.00	6.51	6.32	0.79
74.08	0.94	0.91	0.69
75.90	0.30	0.29	0.69
77.75	0.16	0.16	0.70
