DATA_NEEM08_EU_d15N2.txt Data by Jeff and Kenji
Depth	d15N	grav corr	u(d15N)
0.00	1.000000	1.000000	0.000004
2.50	1.000004	1.000004	0.000004
4.90	1.000014	1.000014	0.000004
7.55	1.000025	1.000025	0.000004
10.10	1.000036	1.000036	0.000004
14.80	1.000058	1.000058	0.000004
19.75	1.000080	1.000080	0.000004
27.54	1.000116	1.000116	0.000004
34.72	1.000152	1.000152	0.000004
42.42	1.000190	1.000190	0.000004
50.00	1.000227	1.000227	0.000004
54.90	1.000250	1.000250	0.000004
57.40	1.000262	1.000262	0.000004
59.90	1.000273	1.000273	0.000004
61.95	1.000282	1.000282	0.000003
63.85	1.000285	1.000285	0.000003
65.75	1.000285	1.000285	0.000003
68.05	1.000285	1.000285	0.000003
70.05	1.000285	1.000285	0.000003
72.00	1.000285	1.000285	0.000003
74.08	1.000285	1.000285	0.000003
75.90	1.000285	1.000285	0.000003
77.75	1.000285	1.000285	0.000003
