"SH C14 conc, 5 Oct 11"	
740
1800	344.153343
1801	344.272683
1802	344.337032
1803	344.986455
1804	345.242153
1805	346.047365
1806	345.513768
1807	345.996984
1808	345.642365
1809	345.797240
1810	347.717572
1811	347.659476
1812	347.697016
1813	347.751043
1814	347.210015
1815	346.975981
1816	347.866618
1817	348.556119
1818	348.759126
1819	346.832115
1820	345.976819
1821	347.239714
1822	346.050064
1823	346.125032
1824	346.425530
1825	345.924149
1826	346.298168
1827	347.235909
1828	347.307305
1829	347.688156
1830	348.274924
1831	347.338447
1832	347.397767
1833	347.260788
1834	346.721941
1835	346.703393
1836	346.807184
1837	346.037054
1838	345.476667
1839	346.087053
1840	346.689056
1841	346.059767
1842	346.506997
1843	347.699527
1844	348.250716
1845	348.600546
1846	348.980799
1847	349.829443
1848	349.565885
1849	349.828048
1850	350.124536
1851	349.478920
1852	349.965232
1853	349.662837
1854	348.462067
1855	348.322637
1856	348.246679
1857	347.832050
1858	348.222296
1859	348.743012
1860	347.982340
1861	348.265124
1862	347.616357
1863	346.972854
1864	347.424531
1865	348.140891
1866	348.462209
1867	348.702770
1868	349.351287
1869	349.524605
1870	350.015117
1871	350.439797
1872	351.058314
1873	351.155283
1874	351.090148
1875	351.705880
1876	351.326722
1877	351.344478
1878	351.798570
1879	351.544480
1880	352.596518
1881	352.608372
1882	353.048771
1883	353.905447
1884	353.648081
1885	353.841981
1886	353.783652
1887	353.927231
1888	354.333047
1889	355.051803
1890	356.015972
1891	357.155085
1892	357.645301
1893	358.440787
1894	359.590287
1895	359.984185
1896	360.723449
1897	360.598515
1898	360.198557
1899	360.054083
1900	359.975550
1901	361.536355
1902	361.725375
1903	360.726234
1904	361.139116
1905	361.318721
1906	361.889384
1907	362.446933
1908	361.889233
1909	362.355950
1910	362.955838
1911	362.713973
1912	362.938578
1913	363.610607
1914	364.203551
1915	365.197058
1916	364.869506
1917	364.807556
1918	365.530943
1919	365.771592
1920	365.626719
1921	365.444650
1922	366.426659
1923	366.211842
1924	366.708858
1925	367.638356
1926	367.209273
1927	366.935662
1928	367.542637
1929	367.338129
1930	368.055214
1931	369.180300
1932	367.914129
1933	367.861667
1934	369.645875
1935	370.346644
1936	370.536229
1937	370.889693
1938	371.593874
1939	371.684486
1940	370.383627
1941	370.927092
1942	372.014016
1943	370.870892
1944	370.272919
1945	370.739243
1946	370.896433
1947	371.155864
1948	370.206199
1949	369.552007
1950	370.175689
1950.1	370.213622
1950.2	370.242973
1950.3	370.263003
1950.4	370.273205
1950.5	370.272735
1950.6	370.261781
1950.7	370.244541
1950.8	370.225895
1950.9001	370.210489
1951.0001	370.203699
1951.1001	370.210055
1951.2001	370.234813
1951.3001	370.282741
1951.4001	370.358739
1951.5001	370.467830
1951.6001	370.612057
1951.7001	370.781364
1951.8001	370.963101
1951.9001	371.144243
1952.0001	371.311877
1952.1001	371.453339
1952.2001	371.555710
1952.3001	371.605951
1952.4001	371.591246
1952.5002	371.498787
1952.6002	371.324798
1952.7002	371.102250
1952.8002	370.872969
1952.9002	370.679045
1953.0002	370.562474
1953.1002	370.565398
1953.2002	370.729974
1953.3002	371.098032
1953.4002	371.712044
1953.5002	372.613894
1953.6002	373.820729
1953.7002	375.249035
1953.8002	376.790648
1953.9002	378.336854
1954.0002	379.779376
1954.1003	381.009588
1954.2003	381.918451
1954.3003	382.397035
1954.4003	382.336109
1954.5003	381.626599
1954.6003	380.246908
1954.7003	378.525000
1954.8003	376.875254
1954.9003	375.712513
1955.0003	375.463993
1955.1003	376.932260
1955.2003	380.958574
1955.3003	381.183654
1955.4003	379.257472
1955.5003	382.386125
1955.6003	380.318820
1955.7003	378.006082
1955.8004	379.109739
1955.9004	381.774134
1956.0004	383.392025
1956.1004	384.302641
1956.2004	387.884247
1956.3004	393.478269
1956.4004	397.515783
1956.5004	396.502812
1956.6004	391.173007
1956.7004	387.224779
1956.8004	389.338137
1956.9004	389.780299
1957.0004	388.803160
1957.1004	392.206725
1957.2004	399.989707
1957.3004	400.924847
1957.4	389.552972
1957.5	395.012811
1957.6	403.329057
1957.7	402.979976
1957.8	402.073659
1957.9	407.679058
1958	411.403469
1958.1	410.918090
1958.2	410.238711
1958.3	412.469840
1958.4	415.620133
1958.5	415.932082
1958.6	412.741087
1958.7	419.659137
1958.8	428.301609
1958.9	426.925413
1959	428.571593
1959.1	432.804665
1959.2	434.925016
1959.3	437.820729
1959.4	435.949278
1959.5	442.140384
1959.6	440.306104
1959.7	444.907380
1959.8	450.402288
1959.9	452.298506
1960	456.102112
1960.1	455.741079
1960.2	457.088337
1960.3	458.338353
1960.4	458.163059
1960.5	457.983410
1960.6	459.433768
1960.7	461.207480
1960.8	462.483222
1960.9	462.363422
1961	460.834203
1961.1	463.364275
1961.2	466.446824
1961.3	464.116130
1961.4	462.594565
1961.5	463.059723
1961.6	464.566038
1961.7	457.319154
1961.8	465.539410
1961.9	480.788485
1962	469.839478
1962.1	462.866571
1962.2	469.794918
1962.3	471.232632
1962.4	460.356204
1962.5	457.776786
1962.6	464.640752
1962.7	474.534875
1962.8	481.549456
1962.9	487.635253
1963	491.223520
1963.1	491.144699
1963.2	493.176311
1963.3	498.383719
1963.4	509.675127
1963.5	516.153254
1963.6	522.443032
1963.7	541.478165
1963.8	539.421859
1963.9	539.629091
1964	559.129650
1964.1	565.501431
1964.2	576.483026
1964.3	583.278680
1964.4	582.992399
1964.5	598.785524
1964.6	611.972452
1964.7	587.722385
1964.8	606.983232
1964.9	631.753164
1965	642.585196
1965.1	652.144323
1965.2	633.996104
1965.3	633.470940
1965.4	632.306470
1965.5	660.238999
1965.6	633.017894
1965.7	633.197059
1965.8	636.847708
1965.9	633.860586
1966	638.678302
1966.1	642.987830
1966.2	641.437245
1966.3	635.381901
1966.4	632.246576
1966.5	630.242515
1966.6	619.893346
1966.7	636.087005
1966.8	629.892450
1966.9	635.158845
1967	634.120829
1967.1	627.939824
1967.2	628.774366
1967.3	628.422879
1967.4	621.096356
1967.5	616.666245
1967.6	614.806204
1967.7	615.160040
1967.8	619.795300
1967.9	620.899020
1968	620.330038
1968.1	621.230961
1968.2	616.482053
1968.3	606.619015
1968.4	612.789468
1968.5	609.912156
1968.6	604.809968
1968.7	602.195805
1968.8	604.884466
1968.9	606.221156
1969	605.922818
1969.1	605.275722
1969.2	611.095675
1969.3	607.435022
1969.4	601.488499
1969.5	601.961741
1969.6	600.203510
1969.7	609.716937
1969.8	602.689961
1969.9	597.604170
1970	595.366486
1970.1	602.530351
1970.2	605.915889
1970.3	599.352275
1970.4	599.145504
1970.5	597.002813
1970.6	592.427263
1970.7	596.725329
1970.8	592.794739
1970.9	592.206755
1971	593.642286
1971.1	592.425016
1971.2	598.137461
1971.3	594.622217
1971.4	594.974339
1971.5	593.630250
1971.6	588.877254
1971.7	587.686473
1971.8	593.199035
1971.9	588.704490
1972	588.946886
1972.1	593.115482
1972.2	586.433108
1972.3	584.481987
1972.4	585.759001
1972.5	584.274739
1972.6	580.208283
1972.7	577.724660
1972.8	577.820039
1972.9	576.974567
1973	579.185173
1973.1	580.646761
1973.2	575.291263
1973.3	572.718159
1973.4	573.069851
1973.5	573.627064
1973.6	571.238110
1973.7	566.425219
1973.8	573.183046
1973.9	570.283233
1974	566.270692
1974.1	562.855385
1974.2	569.127430
1974.3	562.669109
1974.4	554.891911
1974.5	559.166235
1974.6	558.704420
1974.7	563.793390
1974.8	561.929563
1974.9	561.241700
1975	560.383980
1975.1	562.265127
1975.2	563.061812
1975.3	560.554422
1975.4	558.432372
1975.5	555.225600
1975.6	554.852407
1975.7	550.533828
1975.8	547.224043
1975.9	551.136845
1976	554.239915
1976.1	551.765738
1976.2	549.514484
1976.3	544.185198
1976.4	549.461297
1976.5	551.302367
1976.6	544.419809
1976.7	541.015574
1976.8	544.176661
1976.9	540.527443
1977	538.745684
1977.1	545.060689
1977.2	540.105652
1977.3	538.968334
1977.4	540.848225
1977.5	540.515400
1977.6	537.372492
1977.7	534.855408
1977.8	539.755226
1977.9	536.435034
1978	535.080678
1978.1	535.283136
1978.2	535.705067
1978.3	535.006821
1978.4	532.626433
1978.5	534.769354
1978.6	532.126105
1978.7	533.692228
1978.8	536.833239
1978.9	531.514949
1979	533.401060
1979.1	532.965319
1979.2	531.174886
1979.3	531.058655
1979.4	527.328558
1979.5	530.016808
1979.6	525.234706
1979.7	520.692330
1979.8	529.614591
1979.9	527.058643
1980	518.583333
1980.1	523.473265
1980.2	526.831784
1980.3	522.419320
1980.4	525.327298
1980.5	525.425614
1980.6	522.064204
1980.7	524.790530
1980.8	525.238415
1980.9	521.005768
1981	520.097105
1981.1	517.765149
1981.2	519.496085
1981.3	522.398280
1981.4	520.166568
1981.5	518.449180
1981.6	518.179439
1981.7	517.581751
1981.8	516.880817
1981.9	516.794339
1982	516.442612
1982.1	515.030354
1982.2	513.600042
1982.3	513.207100
1982.4	514.757920
1982.5	515.822583
