"""SH HCFC-141b, CGAA (undertectable before 1984.0), ADS, Medusa 5 Dec 11"""	
194	
1800	0
1978.512557	0.000
1979.098973	0.020
1981.381427	0.050
1984.052768	0.080
1984.391006	0.086
1986.86376	0.074
1987.403634	0.076
1988.471169	0.076
1988.471471	0.061
1989.299047	0.051
1989.852325	0.084
1990.867159	0.070
1990.871994	0.119
1992.210847	0.093
1992.727543	0.151
1993.164741	0.171
1994.112726	0.595
1994.318381	0.808
1994.758847	1.336
1995.194912	1.828
1995.446895	2.309
1995.583914	2.352
1995.811275	2.801
1995.923898	2.878
1996.404967	3.830
1996.637105	4.304
1996.754275	4.582
1996.885641	4.706
1997.016733	4.938
1997.017589	4.678
1997.194526	5.004
1997.255375	5.416
1997.408758	5.515
1997.534869	5.756
1998.208	6.951
1998.292	7.118
1998.375	7.307
1998.458	7.467
1998.542	7.674
1998.625	7.868
1998.708	8.019
1998.792	8.147
1998.875	8.231
1998.958	8.349
1999.042	8.462
1999.125	8.601
1999.208	8.732
1999.292	8.946
1999.375	9.175
1999.458	9.366
1999.542	9.52
1999.625	9.701
1999.708	9.812
1999.792	9.887
1999.875	10.028
1999.958	10.083
2000.042	10.169
2000.125	10.255
2000.208	10.431
2000.292	10.654
2000.375	10.889
2000.458	11.084
2000.542	11.275
2000.625	11.413
2000.708	11.501
2000.792	11.593
2000.875	11.731
2000.958	11.748
2001.042	11.845
2001.125	11.864
2001.208	12.018
2001.292	12.197
2001.375	12.387
2001.458	12.586
2001.542	12.735
2001.625	12.815
2001.708	12.965
2001.792	13.057
2001.875	13.089
2001.958	13.116
2002.042	13.155
2002.125	13.225
2002.208	13.447
2002.292	13.683
2002.375	13.885
2002.458	13.934
2002.542	14.037
2002.625	14.19
2002.708	14.325
2002.792	14.427
2002.875	14.506
2002.958	14.504
2003.042	14.484
2003.125	14.549
2003.208	14.676
2003.292	14.824
2003.375	14.964
2003.458	15.126
2003.542	15.251
2003.625	15.395
2003.708	15.478
2003.792	15.552
2003.875	15.61
2003.958	15.617
2004.042	15.738
2004.125	15.754
2004.208	15.86
2004.292	15.958
2004.375	16.098
2004.458	16.249
2004.542	16.389
2004.625	16.534
2004.708	16.619
2004.792	16.617
2004.875	16.588
2004.958	16.547
2005.042	16.515
2005.125	16.503
2005.208	16.544
2005.292	16.647
2005.375	16.762
2005.458	16.866
2005.542	16.89
2005.625	16.987
2005.708	17.061
2005.792	17.065
2005.875	17.055
2005.958	16.934
2006.042	16.844
2006.125	16.78
2006.208	16.733
2006.292	16.785
2006.375	16.876
2006.458	16.949
2006.542	17.064
2006.625	17.138
2006.708	17.225
2006.792	17.278
2006.875	17.314
2006.958	17.273
2007.042	17.237
2007.125	17.261
2007.208	17.349
2007.292	17.532
2007.375	17.584
2007.458	17.687
2007.542	17.704
2007.625	17.731
2007.708	17.798
2007.792	17.814
2007.875	17.928
2007.958	17.903
2008.042	17.876
2008.125	17.923
2008.208	17.933
2008.292	18.039
2008.375	18.125
2008.458	18.234
2008.542	18.463
2008.625	18.561
2008.708	18.606
2008.792	18.646
2008.875	18.634
2008.958	18.63
2009.042	18.574
2009.125	18.524
2009.208	18.548
2009.292	18.61
2009.375	18.753
2009.458	18.804
2009.542	18.834
2009.625	18.919
2009.708	19.008
2009.792	19.077
2009.875	19.07
2009.958	18.967
2010.042	18.927
2010.125	18.923
2010.375	19.219
2010.458	19.248
2010.542	19.387
2010.625	19.493
2010.708	19.495
2010.792	19.517
2010.875	19.554
2010.958	19.506
2011.042	19.492
2011.125	19.499
2011.208	19.549
2011.292	19.744
2011.375	19.855
2011.458	19.968
2011.542	20.076
