Data by NOAA HATS (steve montzka), uncertainties by Christo
Depth	CFC-113	grav	u(CFC-113)
0.00	78.449	78.449	2.0
10.32	78.423	78.423	2.0
14.99	78.254	78.254	2.0
20.53	76.769	76.769	2.0
34.75	73.339	73.339	2.0
40.04	70.779	70.779	2.0
44.84	69.034	69.034	2.0
49.78	65.392	65.392	2.0
54.67	61.605	61.605	2.0
55.57	61.210	61.210	2.0
61.53	55.087	55.087	2.0
64.84	36.347	36.347	2.0
66.21	34.810	34.810	3.0
68.26	22.547	22.547	3.0
70.01	10.351	10.351	3.0
70.27	8.456	8.456	3.0
71.71	4.357	4.357	3.0
73.00	1.061	1.061	2.0
74.04	0.988	0.988	2.0
74.93	0.768	0.768	2.0
76.54	0.417	0.417	2.0
