Data by NOAA HATS (Steve Montzka), uncertainties by christo
Depth	CFC-12	grav	u(CFC-12)
0.00	540.597	540.597	8.0
10.32	536.613	536.613	8.0
14.99	534.627	534.627	8.0
20.53	529.693	529.693	8.0
34.75	519.129	519.129	8.0
40.04	508.534	508.534	8.0
44.84	501.627	501.627	8.0
49.78	488.356	488.356	8.0
54.67	479.495	479.495	8.0
55.57	472.531	472.531	8.0
61.53	450.544	450.544	8.0
64.84	373.583	373.583	10.0
66.21	367.799	367.799	10.0
68.26	299.197	299.197	12.0
70.01	204.880	204.880	12.0
70.27	184.414	184.414	12.0
71.71	130.780	130.780	12.0
73.00	54.312	54.312	12.0
74.04	49.724	49.724	10.0
74.93	27.199	27.199	10.0
76.54	19.551	19.551	10.0
