Data by NOAA HATS (Steve Montzka), uncertainties by Christo
Depth	R134a	grav	u(R134a)
0.00	32.555	32.555	1.6
10.32	28.938	28.938	1.6
14.99	25.574	25.574	1.6
20.53	23.296	23.296	1.6
34.75	15.228	15.228	1.6
40.04	11.382	11.382	1.6
44.84	10.343	10.343	1.6
49.78	8.461	8.461	1.6
54.67	6.361	6.361	1.0
55.57	6.028	6.028	1.0
61.53	4.031	4.031	1.0
64.84	0.953	0.953	1.0
66.21	0.811	0.811	0.6
68.26	0.317	0.317	0.6
70.01	-0.052	-0.052	0.6
70.27	0.063	0.063	0.6
71.71	0.069	0.069	0.6
73.00	0.073	0.073	0.6
74.04	0.383	0.383	0.6
74.93	0.446	0.446	0.6
76.54	0.095	0.095	0.6
