DATA_NEEM08_EU_SF6_v2.txt Data by UEA, uncertainties by Christo
Depth	SF6	grav corr	u(SF6)
0.00	6.6098	6.6098	0.113
2.50	6.6316	6.6281	0.124
4.90	6.6095	6.5987	0.155
7.55	6.5594	6.5402	0.230
10.10	6.4765	6.4493	0.229
14.80	6.3194	6.2768	0.229
19.75	6.1934	6.1359	0.229
27.54	5.8625	5.7839	0.229
34.72	5.6652	5.5661	0.230
42.42	5.3011	5.1859	0.189
50.00	5.0123	4.8825	0.156
54.90	4.6990	4.5653	0.133
57.40	4.5451	4.4097	0.126
59.90	4.2710	4.1387	0.129
61.95	4.0653	3.9353	0.133
63.85	3.1359	3.0346	0.154
65.75	2.0058	1.9410	0.144
68.05	0.7316	0.7080	0.127
70.05	0.2731	0.2643	0.128
72.00	0.1359	0.1315	0.122
74.08	0.0528	0.0511	0.129
75.90	0.1143	0.1107	0.170
77.75	0.0780	0.0755	0.155
