DATA_NEEM08_EU_d15N2.txt. Data by SIO / Kenji Kawamura.
Depth	15N2	u(15N2)
0.00	1.000000000	1.000000000	0.00001007
5.23	1.000016834	1.000016834	0.00001007
9.83	1.000027602	1.000027602	0.00001007
19.30	1.000077714	1.000077714	0.00001007
19.75	1.000070243	1.000070243	0.00001007
27.54	1.000110554	1.000110554	0.00000513
34.72	1.000145856	1.000145856	0.00000513
42.42	1.000184078	1.000184078	0.00000513
50.00	1.000224764	1.000224764	0.00000513
54.90	1.000248352	1.000248352	0.00000513
57.40	1.000259235	1.000259235	0.00000513
59.90	1.000271333	1.000271333	0.00000513
61.95	1.000285688	1.000285688	0.00000513
63.85	1.000279931	1.000279931	0.00000513
65.75	1.000285597	1.000285597	0.00000513
68.05	1.000287218	1.000287218	0.00000513
70.05	1.000286926	1.000286926	0.00000513
72.00	1.000292167	1.000292167	0.00000526
74.08	1.000291537	1.000291537	0.00000566
75.90	1.000291107	1.000291107	0.00000617
77.75	1.000287931	1.000287931	0.00000680
