Data by SIO 
Depth	15N2	u(15N2)
0.00	1.0000000	1	0.000004
20.53	1.0000846	1	0.000004
24.69	1.0000980	1	0.000004
30.02	1.0001280	1	0.000004
34.75	1.0001505	1	0.000004
40.04	1.0001774	1	0.000004
44.84	1.0002074	1	0.000004
49.78	1.0002352	1	0.000004
54.67	1.0002561	1	0.000004
55.57	1.0002588	1	0.000004
61.53	1.0002815	1	0.000004
64.84	1.0003022	1	0.000004
66.21	1.0002980	1	0.000004
68.26	1.0003071	1	0.000004
70.01	1.0003027	1	0.000004
70.27	1.0003065	1	0.000004
71.71	1.0003050	1	0.000004
73.00	1.0003048	1	0.000004
74.04	1.0003017	1	0.000007
74.93	1.0002972	1	0.000012
76.54	1.0002933	1	0.000012
