DATA_NEEM08_EU_CH4 Data by CSIRO and NOAA, uncertainties by Christo
Depth	CH4	grav	u(CH4)
0.00	1841.85	1841.85	5.62
4.90	1842.10	1842.43	5.94
10.10	1850.90	1851.76	6.59
14.80	1853.90	1855.28	7.28
19.75	1857.95	1859.86	7.98
27.54	1855.20	1857.97	8.63
34.72	1862.10	1865.75	8.51
50.00	1845.05	1850.45	8.04
54.90	1837.70	1843.63	7.38
57.40	1838.30	1844.51	7.36
59.90	1835.60	1842.07	7.36
61.95	1832.50	1839.17	7.62
63.85	1817.70	1824.39	8.54
65.75	1778.83	1785.37	10.61
68.05	1644.95	1651.00	18.26
70.05	1512.35	1517.91	27.63
72.00	1400.30	1405.45	26.39
74.08	1293.63	1298.38	24.94
75.90	1236.78	1241.32	24.60
77.75	1186.30	1190.66	24.67
