year	concentration	uncert
1800.04	285.631	4.216
1800.13	286.505	4.170
1800.21	287.127	4.167
1800.29	287.256	4.149
1800.38	287.074	4.147
1800.46	284.619	4.145
1800.54	279.161	4.207
1800.63	274.435	4.188
1800.71	274.938	4.159
1800.79	279.151	4.164
1800.88	283.299	4.159
1800.96	285.603	4.189
1801.04	285.731	4.216
1801.13	286.605	4.170
1801.21	287.227	4.167
1801.29	287.356	4.149
1801.38	287.174	4.147
1801.46	284.719	4.145
1801.54	279.261	4.207
1801.63	274.535	4.188
1801.71	275.038	4.159
1801.79	279.251	4.164
1801.88	283.399	4.159
1801.96	285.703	4.189
1802.04	285.831	4.216
1802.13	286.705	4.170
1802.21	287.327	4.167
1802.29	287.456	4.149
1802.38	287.274	4.147
1802.46	284.819	4.145
1802.54	279.361	4.207
1802.63	274.635	4.188
1802.71	275.138	4.159
1802.79	279.351	4.164
1802.88	283.499	4.159
1802.96	285.803	4.189
1803.04	285.931	4.216
1803.13	286.805	4.170
1803.21	287.427	4.167
1803.29	287.556	4.149
1803.38	287.374	4.147
1803.46	284.919	4.145
1803.54	279.461	4.207
1803.63	274.735	4.188
1803.71	275.238	4.159
1803.79	279.451	4.164
1803.88	283.599	4.159
1803.96	285.903	4.189
1804.04	286.031	4.216
1804.13	286.905	4.170
1804.21	287.527	4.167
1804.29	287.656	4.149
1804.38	287.474	4.147
1804.46	285.019	4.145
1804.54	279.561	4.207
1804.63	274.835	4.188
1804.71	275.338	4.159
1804.79	279.551	4.164
1804.88	283.699	4.159
1804.96	286.003	4.189
1805.04	286.131	4.216
1805.13	287.005	4.170
1805.21	287.627	4.167
1805.29	287.756	4.149
1805.38	287.574	4.147
1805.46	285.119	4.145
1805.54	279.661	4.207
1805.63	274.935	4.188
1805.71	275.438	4.159
1805.79	279.651	4.164
1805.88	283.799	4.159
1805.96	286.103	4.189
1806.04	286.211	4.216
1806.13	287.085	4.170
1806.21	287.707	4.167
1806.29	287.836	4.149
1806.38	287.654	4.147
1806.46	285.199	4.145
1806.54	279.741	4.207
1806.63	275.015	4.188
1806.71	275.518	4.159
1806.79	279.731	4.164
1806.88	283.879	4.159
1806.96	286.183	4.189
1807.04	286.291	4.216
1807.13	287.165	4.170
1807.21	287.787	4.167
1807.29	287.916	4.149
1807.38	287.734	4.147
1807.46	285.279	4.145
1807.54	279.821	4.207
1807.63	275.095	4.188
1807.71	275.598	4.159
1807.79	279.811	4.164
1807.88	283.959	4.159
1807.96	286.263	4.189
1808.04	286.371	4.216
1808.13	287.245	4.170
1808.21	287.867	4.167
1808.29	287.996	4.149
1808.38	287.814	4.147
1808.46	285.359	4.145
1808.54	279.901	4.207
1808.63	275.175	4.188
1808.71	275.678	4.159
1808.79	279.891	4.164
1808.88	284.039	4.159
1808.96	286.343	4.189
1809.04	286.451	4.216
1809.13	287.325	4.170
1809.21	287.947	4.167
1809.29	288.076	4.149
1809.38	287.894	4.147
1809.46	285.439	4.145
1809.54	279.981	4.207
1809.63	275.255	4.188
1809.71	275.758	4.159
1809.79	279.971	4.164
1809.88	284.119	4.159
1809.96	286.423	4.189
1810.04	286.531	4.216
1810.13	287.405	4.170
1810.21	288.027	4.167
1810.29	288.156	4.149
1810.38	287.974	4.147
1810.46	285.519	4.145
1810.54	280.061	4.207
1810.63	275.335	4.188
1810.71	275.838	4.159
1810.79	280.051	4.164
1810.88	284.199	4.159
1810.96	286.503	4.189
1811.04	286.571	4.216
1811.13	287.445	4.170
1811.21	288.067	4.167
1811.29	288.196	4.149
1811.38	288.014	4.147
1811.46	285.559	4.145
1811.54	280.101	4.207
1811.63	275.375	4.188
1811.71	275.878	4.159
1811.79	280.091	4.164
1811.88	284.239	4.159
1811.96	286.543	4.189
1812.04	286.611	4.216
1812.13	287.485	4.170
1812.21	288.107	4.167
1812.29	288.236	4.149
1812.38	288.054	4.147
1812.46	285.599	4.145
1812.54	280.141	4.207
1812.63	275.415	4.188
1812.71	275.918	4.159
1812.79	280.131	4.164
1812.88	284.279	4.159
1812.96	286.583	4.189
1813.04	286.651	4.216
1813.13	287.525	4.170
1813.21	288.147	4.167
1813.29	288.276	4.149
1813.38	288.094	4.147
1813.46	285.639	4.145
1813.54	280.181	4.207
1813.63	275.455	4.188
1813.71	275.958	4.159
